DATE,DFF
1998-07-01,5.5316304347826087
1998-10-01,4.8605434782608696
1999-01-01,4.7345555555555556
1999-04-01,4.7476923076923077
1999-07-01,5.0955434782608696
1999-10-01,5.3040217391304348
2000-01-01,5.6776923076923077
2000-04-01,6.2719780219780220
2000-07-01,6.5194565217391304
2000-10-01,6.4748913043478261
2001-01-01,5.5970000000000000
2001-04-01,4.3267032967032967
2001-07-01,3.5015217391304348
2001-10-01,2.1304347826086957
2002-01-01,1.7328888888888889
2002-04-01,1.7515384615384615
2002-07-01,1.7408695652173913
2002-10-01,1.4442391304347826
2003-01-01,1.2496666666666667
2003-04-01,1.2467032967032967
2003-07-01,1.0168478260869565
2003-10-01,0.99673913043478260870
2004-01-01,1.00186813186813186813
2004-04-01,1.0113186813186813
2004-07-01,1.4307608695652174
2004-10-01,1.9498913043478261
2005-01-01,2.4690000000000000
2005-04-01,2.9417582417582418
2005-07-01,3.4600000000000000
2005-10-01,3.9782608695652174
2006-01-01,4.4541111111111111
2006-04-01,4.9075824175824176
2006-07-01,5.2453260869565217
2006-10-01,5.2429347826086957
2007-01-01,5.2545555555555556
2007-04-01,5.2524175824175824
2007-07-01,5.0743478260869565
2007-10-01,4.4956521739130435
2008-01-01,3.1814285714285714
2008-04-01,2.0847252747252747
2008-07-01,1.9406521739130435
2008-10-01,0.50532608695652173913
2009-01-01,0.18444444444444444444
2009-04-01,0.17802197802197802198
2009-07-01,0.15434782608695652174
2009-10-01,0.11836956521739130435
2010-01-01,0.13388888888888888889
2010-04-01,0.19197802197802197802
2010-07-01,0.18880434782608695652
2010-10-01,0.18956521739130434783
2011-01-01,0.15455555555555555556
2011-04-01,0.09461538461538461538
2011-07-01,0.08358695652173913043
2011-10-01,0.07434782608695652174
2012-01-01,0.10417582417582417582
2012-04-01,0.15230769230769230769
2012-07-01,0.14434782608695652174
2012-10-01,0.16119565217391304348
2013-01-01,0.14366666666666666667
2013-04-01,0.11582417582417582418
2013-07-01,0.08521739130434782609
2013-10-01,0.08554347826086956522
2014-01-01,0.07222222222222222222
2014-04-01,0.09098901098901098901
2014-07-01,0.08913043478260869565
2014-10-01,0.10130434782608695652
2015-01-01,0.11288888888888888889
2015-04-01,0.12560439560439560440
2015-07-01,0.13478260869565217391
2015-10-01,0.16108695652173913043
2016-01-01,0.35978021978021978022
2016-04-01,0.36934065934065934066
2016-07-01,0.39489130434782608696
2016-10-01,0.44815217391304347826
2017-01-01,0.69888888888888888889
2017-04-01,0.94736263736263736264
2017-07-01,1.1536956521739130
2017-10-01,1.2046739130434783
2018-01-01,1.4470000000000000
2018-04-01,1.7369230769230769
2018-07-01,1.9261956521739130
2018-10-01,2.2201086956521739
2019-01-01,2.4017777777777778
2019-04-01,2.3973626373626374
2019-07-01,2.1921739130434783
2019-10-01,1.6456521739130435
2020-01-01,1.2549450549450549
2020-04-01,0.05879120879120879121
2020-07-01,0.09260869565217391304
2020-10-01,0.08880434782608695652
2021-01-01,0.07688888888888888889
2021-04-01,0.06824175824175824176
2021-07-01,0.09000000000000000000
2021-10-01,0.07945652173913043478
2022-01-01,0.12144444444444444444
2022-04-01,0.76681318681318681319
2022-07-01,2.1829347826086957
2022-10-01,3.6533695652173913
2023-01-01,4.5145555555555556
2023-04-01,4.9300000000000000
